year	day	hour	rain	temperature	water_L0_crust0	water_L0_crust1	water_L0_crust2	water_L0_crust3	water_L0_veg	moisture_L1_crust0	moisture_L1_crust1	moisture_L1_crust2	moisture_L1_crust3	moisture_L1_veg	moisture_L2_crust0	moisture_L2_crust1	moisture_L2_crust2	moisture_L2_crust3	moisture_L2_veg	infiltration_L1_crust0	infiltration_L1_crust1	infiltration_L1_crust2	infiltration_L1_crust3	infiltration_L1_veg	drainage_L1_crust0	drainage_L1_crust1	drainage_L1_crust2	drainage_L1_crust3	drainage_L1_veg	drainage_L2_crust0	drainage_L2_crust1	drainage_L2_crust2	drainage_L2_crust3	drainage_L2_veg	QD_L0_crust0	QD_L0_crust1	QD_L0_crust2	QD_L0_crust3	QD_L0_veg	EP_L1_crust0	EP_L1_crust1	EP_L1_crust2	EP_L1_crust3	EP_L1_veg
0	101	11	0	21.71	0	0	0	0	0	0.0441161	0	0	0	0.0258433	0.120029	0	0	0	0.0370128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	12	0	20.57	0	0	0	0	0	0.0442739	0	0	0	0.0258665	0.11991	0	0	0	0.0369954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	13	0	19.8067	0	0	0	0	0	0.0444312	0	0	0	0.0258897	0.119793	0	0	0	0.0369781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	14	0	19.4233	0	0	0	0	0	0.0445879	0	0	0	0.0259127	0.119675	0	0	0	0.0369608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	15	0	20.8233	0	0	0	0	0	0.044744	0	0	0	0.0259357	0.119558	0	0	0	0.0369436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	16	0	20.95	0	0	0	0	0	0.0448995	0	0	0	0.0259586	0.119441	0	0	0	0.0369264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	17	0	20.44	0	0	0	0	0	0.0450545	0	0	0	0.0259814	0.119325	0	0	0	0.0369093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	18	0	20.57	0	0	0	0	0	0.0452089	0	0	0	0.0260041	0.119209	0	0	0	0.0368923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	19	0	18.79	0	0	0	0	0	0.0453627	0	0	0	0.0260267	0.119094	0	0	0	0.0368753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	20	0	16.38	0	0	0	0	0	0.045516	0	0	0	0.0260493	0.118979	0	0	0	0.0368584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	21	0	14.85	0	0	0	0	0	0.0456687	0	0	0	0.0260717	0.118864	0	0	0	0.0368415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	22	0	14.85	0	0	0	0	0	0.0458209	0	0	0	0.0260941	0.11875	0	0	0	0.0368247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297879	0	0	0	0.0922244
0	101	23	0	14.85	0	0	0	0	0	0.0416478	0	0	0	0.0248081	0.118637	0	0	0	0.0360287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259483	0	0	0	0.0785027
0	102	0	0	14.85	0	0	0	0	0	0.0418078	0	0	0	0.0248314	0.118517	0	0	0	0.0360112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259483	0	0	0	0.0785027
0	102	1	0.9135	14.85	0	0	0	0	0	0.0571606	0	0	0	0.0400503	0.118421	0	0	0	0.0360158	0.9135	0	0	0	0.9135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259483	0	0	0	0.0785027
