year	day	hour	rain	temperature	MeanWaterL0_abs	moisture_L1	moisture_L2	infiltration_L1	infiltration_L2	infiltration_tot	drainage_L1	drainage_L2	QD	QDlost	potEP	EP_L0	EP_L1	EP_L2	EP_tot	transpiration_L1	transpiration_L2	E_L1	layerDiff
0	114	2	0	15.36	0	0.044269	0.076578	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00311103
0	114	3	0	15.1033	0	0.0443361	0.0765276	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00309971
0	114	4	0	15.2333	0	0.0444031	0.0764774	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00308844
0	114	5	0	14.7233	0	0.0444697	0.0764274	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.0030772
0	114	6	0	14.5967	0	0.0445362	0.0763775	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.003066
0	114	7	0	15.1033	0	0.0446024	0.0763279	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00305485
0	114	8	0	16.5067	0	0.0446683	0.0762784	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00304374
0	114	9	0	20.1867	0	0.044734	0.0762291	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00303266
0	114	10	0	23.7567	0	0.0447995	0.07618	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00302163
0	114	11	0	24.14	0	0.0448648	0.0761311	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00301063
0	114	12	0	25.6933	0	0.0449298	0.0760823	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00299968
0	114	13	0	27.7833	0	0.0449945	0.0760338	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00298877
0	114	14	0	28.9667	0	0.0450591	0.0759854	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00297789
0	114	15	0	27.78	0	0.0451234	0.0759372	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00296706
0	114	16	0	27.78	0	0.0451874	0.0758891	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00295626
0	114	17	0	27.5167	0	0.0452512	0.0758412	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00294551
0	114	18	0	25.8233	0	0.0453148	0.0757935	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00293479
0	114	19	0	23.37	0	0.0453782	0.075746	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00292411
0	114	20	0	20.6967	0	0.0454413	0.0756987	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00291347
0	114	21	0	18.28	0	0.0455043	0.0756515	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00290287
0	114	22	0	17.2667	0	0.0455669	0.0756045	0	0	0	0	0	0	0	5.4858	0	0.135753	0.0335565	0.16931	0.0420392	0.0335565	0.0937142	-0.00289231
0	114	23	0	16.6333	0	0.0432758	0.0753057	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00288179
0	115	0	0	16	0	0.0433424	0.0752558	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00307385
0	115	1	0	15.2333	0	0.0434087	0.075206	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00306266
0	115	2	0	15.1033	0	0.0434748	0.0751564	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00305152
0	115	3	0	14.3433	0	0.0435407	0.075107	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00304042
0	115	4	0	14.47	0	0.0436063	0.0750578	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00302936
0	115	5	0	13.83	0	0.0436717	0.0750088	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00301834
0	115	6	0	13.4433	0	0.0437368	0.0749599	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00300736
0	115	7	0	13.1867	0	0.0438017	0.0749112	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00299641
0	115	8	0	17.9033	0	0.0438664	0.0748627	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00298551
0	115	9	0	23.5033	0	0.0439308	0.0748144	0	0	0	0	0	0	0	5.07889	0	0.119737	0.0296189	0.149356	0.0368	0.0296189	0.0829367	-0.00297465
